city_ascii,state_id,state_name,county_name,population,density,timezone
Elizabeth,NJ,New Jersey,Union,129216,4049,America/New_York
Johnson City,TN,Tennessee,Washington,127571,599,America/New_York
Lynchburg,VA,Virginia,Lynchburg,126814,647,America/New_York
Simi Valley,CA,California,Ventura,126589,1167,America/Los_Angeles
Fort Smith,AR,Arkansas,Sebastian,125354,536,America/Chicago
Kenosha,WI,Wisconsin,Kenosha,124972,1378,America/Chicago
South Lyon,MI,Michigan,Oakland,124694,1219,America/Detroit
Boulder,CO,Colorado,Boulder,124345,1551,America/Denver
Pearland,TX,Texas,Brazoria,122460,981,America/Chicago
Berkeley,CA,California,Alameda,121363,4473,America/Los_Angeles
Richardson,TX,Texas,Dallas,121323,1639,America/Chicago
Redding,CA,California,Shasta,121313,599,America/Los_Angeles
Arvada,CO,Colorado,Jefferson,121272,1207,America/Denver
Saint George,UT,Utah,Washington,120899,449,America/Denver
Billings,MT,Montana,Yellowstone,120728,948,America/Denver
Yuba City,CA,California,Sutter,120456,1736,America/Los_Angeles
Rochester,MN,Minnesota,Olmsted,119942,831,America/Chicago
East Los Angeles,CA,California,Los Angeles,119827,6212,America/Los_Angeles
Leominster,MA,Massachusetts,Worcester,119690,558,America/New_York
Kingsport,TN,Tennessee,Sullivan,119666,397,America/New_York
Duluth,MN,Minnesota,Saint Louis,119476,461,America/Chicago
Lehigh Acres,FL,Florida,Lee,119205,496,America/New_York
Rock Hill,SC,South Carolina,York,119105,750,America/New_York
Gilroy,CA,California,Santa Clara,118993,1378,America/Los_Angeles
Cambridge,MA,Massachusetts,Middlesex,118927,7182,America/New_York
Sugar Land,TX,Texas,Fort Bend,118488,1130,America/Chicago
Texas City,TX,Texas,Galveston,118169,300,America/Chicago
Iowa City,IA,Iowa,Johnson,118041,1133,America/Chicago
Saginaw,MI,Michigan,Saginaw,117958,1087,America/Detroit
Chico,CA,California,Butte,117668,1191,America/Los_Angeles
Dover,DE,Delaware,Kent,117282,622,America/New_York
Norman,OK,Oklahoma,Cleveland,116973,269,America/Chicago
Clearwater,FL,Florida,Pinellas,116946,1731,America/New_York
Coeur d'Alene,ID,Idaho,Kootenai,116834,1260,America/Los_Angeles
Ponce,PR,Puerto Rico,Ponce,116796,1469,America/Puerto_Rico
Seaside,CA,California,Monterey,116720,1410,America/Los_Angeles
Independence,MO,Missouri,Jackson,116672,577,America/Chicago
West Jordan,UT,Utah,Salt Lake,116480,1391,America/Denver
Abilene,TX,Texas,Taylor,116412,446,America/Chicago
Bloomington,IN,Indiana,Monroe,115884,1424,America/Indiana/Indianapolis
El Monte,CA,California,Los Angeles,115487,4663,America/Los_Angeles
Carlsbad,CA,California,San Diego,115382,1180,America/Los_Angeles
North Charleston,SC,South Carolina,Charleston,115382,574,America/New_York
Saint Cloud,MN,Minnesota,Stearns,115028,660,America/Chicago
Temecula,CA,California,Riverside,114761,1188,America/Los_Angeles
Clovis,CA,California,Fresno,114584,1741,America/Los_Angeles
Meridian,ID,Idaho,Ada,114161,1297,America/Boise
Brandon,FL,Florida,Hillsborough,113279,1319,America/New_York
Westminster,CO,Colorado,Adams,113166,1383,America/Denver
Costa Mesa,CA,California,Orange,113003,2762,America/Los_Angeles
Monroe,LA,Louisiana,Ouachita,112891,623,America/Chicago
Utica,NY,New York,Oneida,112650,1376,America/New_York
Pompano Beach,FL,Florida,Broward,112118,1802,America/New_York
West Palm Beach,FL,Florida,Palm Beach,111955,803,America/New_York
Waterloo,IA,Iowa,Black Hawk,111631,423,America/Chicago
Everett,WA,Washington,Snohomish,111475,1296,America/Los_Angeles
El Centro,CA,California,Imperial,111425,1478,America/Los_Angeles
Santa Fe,NM,New Mexico,Santa Fe,111269,625,America/Denver
Downey,CA,California,Los Angeles,111126,3457,America/Los_Angeles
Lowell,MA,Massachusetts,Middlesex,110997,3149,America/New_York
Centennial,CO,Colorado,Arapahoe,110937,1448,America/Denver
Elgin,IL,Illinois,Kane,110849,1141,America/Chicago
Richmond,CA,California,Contra Costa,110567,1420,America/Los_Angeles
Broken Arrow,OK,Oklahoma,Tulsa,110198,688,America/Chicago
Miami Gardens,FL,Florida,Miami-Dade,110001,2329,America/New_York
The Woodlands,TX,Texas,Montgomery,109843,981,America/Chicago
Bend,OR,Oregon,Deschutes,109802,1171,America/Los_Angeles
Burlington,VT,Vermont,Chittenden,109763,1604,America/New_York
Jurupa Valley,CA,California,Riverside,109527,984,America/Los_Angeles
Sandy Springs,GA,Georgia,Fulton,109452,1122,America/New_York
Gresham,OR,Oregon,Multnomah,109381,1808,America/Los_Angeles
Lewisville,TX,Texas,Denton,109212,1148,America/Chicago
Hillsboro,OR,Oregon,Washington,109128,1640,America/Los_Angeles
San Buenaventura,CA,California,Ventura,109106,1925,America/Los_Angeles
Jacksonville,NC,North Carolina,Onslow,108856,574,America/New_York
Pottstown,PA,Pennsylvania,Montgomery,108758,1798,America/New_York
Inglewood,CA,California,Los Angeles,108151,4604,America/Los_Angeles
Spring Hill,FL,Florida,Hernando,107855,695,America/New_York
League City,TX,Texas,Galveston,107536,809,America/Chicago
Eau Claire,WI,Wisconsin,Eau Claire,107404,812,America/Chicago
Turlock,CA,California,Stanislaus,107317,1679,America/Los_Angeles
Temple,TX,Texas,Bell,107258,429,America/Chicago
Sioux City,IA,Iowa,Woodbury,106455,545,America/Chicago
Salisbury,MD,Maryland,Wicomico,106447,927,America/New_York
Davie,FL,Florida,Broward,106306,1175,America/New_York
Daly City,CA,California,San Mateo,106280,5370,America/Los_Angeles
Allen,TX,Texas,Collin,105623,1544,America/Chicago
Highlands Ranch,CO,Colorado,Douglas,105147,1672,America/Denver
West Covina,CA,California,Los Angeles,105101,2529,America/Los_Angeles
Sparks,NV,Nevada,Washoe,105006,1131,America/Los_Angeles
San Mateo,CA,California,San Mateo,104430,3312,America/Los_Angeles
Norwalk,CA,California,Los Angeles,103949,4133,America/Los_Angeles
Columbia,MD,Maryland,Howard,103663,1253,America/New_York
Rialto,CA,California,San Bernardino,103526,1665,America/Los_Angeles
Manteca,CA,California,San Joaquin,103420,1498,America/Los_Angeles
El Cajon,CA,California,San Diego,102708,2732,America/Los_Angeles
Burbank,CA,California,Los Angeles,102511,2285,America/Los_Angeles
Longmont,CO,Colorado,Boulder,102474,1306,America/Denver
Renton,WA,Washington,King,101751,1676,America/Los_Angeles
Vista,CA,California,San Diego,101638,2093,America/Los_Angeles
Logan,UT,Utah,Cache,101616,1126,America/Denver
Prescott Valley,AZ,Arizona,Yavapai,101539,439,America/Phoenix
Vacaville,CA,California,Solano,101444,1330,America/Los_Angeles
Edinburg,TX,Texas,Hidalgo,101170,873,America/Chicago
Carmel,IN,Indiana,Hamilton,101068,795,America/Indiana/Indianapolis
Spokane Valley,WA,Washington,Spokane,101060,1034,America/Los_Angeles
San Angelo,TX,Texas,Tom Green,100773,653,America/Chicago
La Crosse,WI,Wisconsin,La Crosse,100693,911,America/Chicago
Arden-Arcade,CA,California,Sacramento,100548,2184,America/Los_Angeles
Idaho Falls,ID,Idaho,Bonneville,100442,1011,America/Boise
Holland,MI,Michigan,Ottawa,100432,768,America/Detroit
Charlottesville,VA,Virginia,Charlottesville,100416,1781,America/New_York
Longview,TX,Texas,Gregg,100330,565,America/Chicago
Tracy,CA,California,San Joaquin,100049,1412,America/Los_Angeles
Boca Raton,FL,Florida,Palm Beach,99805,1320,America/New_York
